│д╢╚ m	0бу	30бу	60бу	90бу	120бу	150бу	180бу	

[	q = 141120	]
12.2347	-0.03092	-0.02969	-0.02503	-0.01557	-0.00253	0.00928	0.01408	
12.3197	-0.03531	-0.03418	-0.02979	-0.02072	-0.00809	0.00341	0.0081	
12.4047	-0.03961	-0.03858	-0.03446	-0.02577	-0.01354	-0.00235	0.00222	
12.4896	-0.04383	-0.04289	-0.03904	-0.03073	-0.0189	-0.00802	-0.00356	
12.5746	-0.04797	-0.04712	-0.04353	-0.03559	-0.02416	-0.01358	-0.00923	
12.6596	-0.05202	-0.05127	-0.04793	-0.04036	-0.02932	-0.01903	-0.0148	
12.7445	-0.056	-0.05533	-0.05224	-0.04504	-0.03438	-0.02439	-0.02027	
12.8295	-0.0599	-0.05932	-0.05647	-0.04962	-0.03934	-0.02964	-0.02563	
12.9144	-0.06372	-0.06322	-0.06062	-0.05412	-0.04421	-0.03479	-0.03089	
12.9994	-0.06746	-0.06705	-0.06468	-0.05852	-0.04897	-0.03984	-0.03604	
13.0844	-0.07113	-0.0708	-0.06866	-0.06283	-0.05364	-0.04478	-0.04109	
13.1693	-0.07473	-0.07447	-0.07256	-0.06705	-0.05821	-0.04962	-0.04603	
13.2543	-0.07825	-0.07807	-0.07637	-0.07118	-0.06268	-0.05436	-0.05087	
13.3393	-0.0817	-0.08159	-0.0801	-0.07522	-0.06705	-0.05899	-0.0556	
13.4242	-0.08507	-0.08504	-0.08375	-0.07917	-0.07133	-0.06353	-0.06024	
13.5092	-0.08837	-0.0884	-0.08732	-0.08303	-0.07552	-0.06797	-0.06477	
13.5942	-0.09158	-0.09169	-0.0908	-0.08681	-0.07961	-0.07231	-0.06921	
13.6791	-0.09472	-0.09489	-0.0942	-0.0905	-0.08361	-0.07656	-0.07355	
13.7641	-0.09778	-0.09802	-0.09752	-0.0941	-0.08753	-0.08072	-0.0778	
13.849	-0.10077	-0.10107	-0.10076	-0.09762	-0.09135	-0.08479	-0.08196	
13.934	-0.10368	-0.10404	-0.10392	-0.10106	-0.0951	-0.08877	-0.08603	
14.019	-0.10651	-0.10694	-0.107	-0.10441	-0.09875	-0.09266	-0.09002	
14.1039	-0.10926	-0.10976	-0.11	-0.10769	-0.10233	-0.09647	-0.09391	
14.1889	-0.11194	-0.1125	-0.11293	-0.11088	-0.10582	-0.10019	-0.09773	
14.2739	-0.11455	-0.11517	-0.11578	-0.114	-0.10923	-0.10383	-0.10146	
14.3588	-0.11362	-0.11431	-0.1151	-0.11357	-0.10904	-0.10381	-0.10149	
14.4438	-0.1091	-0.10986	-0.11084	-0.10954	-0.10518	-0.10006	-0.09778	
14.5288	-0.10462	-0.10547	-0.10663	-0.10554	-0.10136	-0.09634	-0.09409	
14.6137	-0.1002	-0.10111	-0.10246	-0.10158	-0.09757	-0.09264	-0.09042	
14.6987	-0.09583	-0.09681	-0.09833	-0.09766	-0.09381	-0.08898	-0.08678	
14.7836	-0.09151	-0.09256	-0.09426	-0.09378	-0.09009	-0.08534	-0.08318	
14.8686	-0.08725	-0.08837	-0.09023	-0.08994	-0.0864	-0.08174	-0.0796	
14.9536	-0.08304	-0.08422	-0.08624	-0.08615	-0.08275	-0.07817	-0.07605	
15.0385	-0.07889	-0.08014	-0.08231	-0.0824	-0.07914	-0.07463	-0.07254	
15.1235	-0.0748	-0.07611	-0.07844	-0.07869	-0.07556	-0.07113	-0.06906	
15.2085	-0.07077	-0.07214	-0.07461	-0.07503	-0.07203	-0.06767	-0.06561	
15.2934	-0.06681	-0.06823	-0.07084	-0.07142	-0.06854	-0.06424	-0.0622	
15.3784	-0.0629	-0.06438	-0.06713	-0.06785	-0.06509	-0.06085	-0.05883	
15.4633	-0.05906	-0.06059	-0.06347	-0.06434	-0.06168	-0.05749	-0.05549	
15.5483	-0.05529	-0.05687	-0.05987	-0.06088	-0.05832	-0.05418	-0.05219	
15.6333	-0.05158	-0.05321	-0.05632	-0.05746	-0.055	-0.0509	-0.04892	
15.7182	-0.04794	-0.04961	-0.05284	-0.0541	-0.05172	-0.04767	-0.0457	
15.8032	-0.04437	-0.04608	-0.04942	-0.05079	-0.04849	-0.04448	-0.04252	
15.8882	-0.04087	-0.04262	-0.04606	-0.04754	-0.04531	-0.04133	-0.03937	
15.9731	-0.03744	-0.03923	-0.04276	-0.04434	-0.04218	-0.03822	-0.03627	
16.0581	-0.03408	-0.03591	-0.03952	-0.0412	-0.03909	-0.03516	-0.03321	
16.1431	-0.03079	-0.03265	-0.03635	-0.03811	-0.03605	-0.03213	-0.03019	
16.228	-0.02757	-0.02947	-0.03324	-0.03507	-0.03306	-0.02916	-0.02721	
16.313	-0.02443	-0.02636	-0.0302	-0.0321	-0.03012	-0.02622	-0.02428	
16.3979	-0.02137	-0.02332	-0.02722	-0.02918	-0.02723	-0.02333	-0.02139	
16.4829	-0.01838	-0.02035	-0.02431	-0.02631	-0.02439	-0.02049	-0.01854	
16.5679	-0.01546	-0.01746	-0.02147	-0.02351	-0.0216	-0.01769	-0.01573	
16.6528	-0.01263	-0.01465	-0.01869	-0.02077	-0.01886	-0.01494	-0.01297	
16.7378	-0.00988	-0.01191	-0.01599	-0.01808	-0.01617	-0.01223	-0.01025	
16.8228	-0.00353	-0.00617	-0.01179	-0.01573	-0.01535	-0.01233	-0.01065	
16.9077	0.01021	0.00756	0.0019	-0.00205	-0.00167	0.00137	0.00306	
16.9927	0.01288	0.01022	0.00454	0.00057	0.00097	0.00403	0.00574	
17.0777	0.01547	0.0128	0.0071	0.00313	0.00355	0.00664	0.00836	
17.1626	0.01798	0.0153	0.00959	0.00562	0.00607	0.0092	0.01094	
17.2476	0.02041	0.01772	0.01201	0.00805	0.00854	0.01171	0.01346	
17.3325	0.02276	0.02007	0.01436	0.01042	0.01095	0.01416	0.01594	
17.4175	0.02503	0.02234	0.01663	0.01272	0.0133	0.01656	0.01836	
17.5025	0.02722	0.02453	0.01884	0.01496	0.0156	0.01892	0.02074	
17.5874	0.02934	0.02666	0.02098	0.01715	0.01784	0.02122	0.02306	
17.6724	0.03138	0.0287	0.02305	0.01927	0.02003	0.02348	0.02535	
17.7574	0.03334	0.03068	0.02505	0.02133	0.02217	0.02569	0.02758	
17.8423	0.03524	0.03258	0.02699	0.02333	0.02426	0.02785	0.02978	
17.9273	0.03705	0.03441	0.02887	0.02528	0.0263	0.02997	0.03193	
18.0123	0.0388	0.03617	0.03068	0.02718	0.0283	0.03205	0.03404	
18.0972	0.04047	0.03786	0.03243	0.02902	0.03025	0.03409	0.03611	
18.1822	0.04208	0.03949	0.03412	0.03081	0.03215	0.03608	0.03815	
18.2671	0.04067	0.03812	0.03284	0.02966	0.03111	0.03512	0.03721	
18.3521	0.03932	0.0368	0.03162	0.02855	0.03011	0.03419	0.0363	
18.4371	0.03802	0.03553	0.03044	0.02748	0.02914	0.03328	0.03542	
18.522	0.03677	0.03432	0.0293	0.02645	0.0282	0.03241	0.03457	
18.607	0.03556	0.03314	0.02821	0.02546	0.0273	0.03156	0.03374	
